location,propertyType,area,bedrooms,bathrooms,price
Uptown,Studio,3698,3,2,734700
Uptown,Studio,506,1,2,235900
Uptown,Studio,4570,2,1,855500
Countryside,Apartment,4003,1,1,660450
Uptown,Apartment,3824,4,3,763600
Countryside,Villa,2133,5,2,619950
Uptown,Penthouse,2865,5,2,829750
Uptown,Villa,3432,5,3,914800
Suburbs,Penthouse,4839,2,1,995850
Uptown,Villa,3664,3,1,929600
Countryside,Villa,4708,5,3,1006200
Downtown,Studio,747,4,2,302050
Countryside,Studio,613,4,2,181950
Suburbs,Villa,3399,1,1,769850
Countryside,Penthouse,4295,3,3,924250
Suburbs,Studio,2207,5,1,431050
Suburbs,Penthouse,3753,3,3,842950
Suburbs,Villa,809,4,3,411350
Suburbs,Apartment,3151,3,2,552650
Countryside,Apartment,1795,1,1,329250
Suburbs,Villa,1804,5,3,570600
Suburbs,Studio,2453,3,3,447950
Downtown,Apartment,3310,5,1,696500
Countryside,Studio,772,5,2,215800
Uptown,Penthouse,4626,2,3,1063900
Suburbs,Apartment,839,3,3,205850
Countryside,Apartment,4548,4,3,772200
Suburbs,Studio,638,3,3,175700
Countryside,Studio,578,1,2,146700
Suburbs,Apartment,3714,3,1,637100
Downtown,Villa,4316,1,2,1007400
Suburbs,Apartment,2115,1,3,377250
Suburbs,Villa,2333,3,3,629950
Countryside,Penthouse,1537,5,3,530550
Countryside,Penthouse,3735,4,2,850250
Suburbs,Apartment,4441,1,2,726150
Downtown,Penthouse,2564,5,2,784600
Downtown,Studio,2410,2,2,531500
Downtown,Apartment,1832,5,1,474800
Uptown,Penthouse,1561,2,3,604150
Uptown,Penthouse,3305,4,1,885750
Suburbs,Studio,4142,3,2,701300
Countryside,Studio,4063,5,1,709450
Countryside,Apartment,3570,4,1,625500
Downtown,Studio,2324,5,1,548600
Uptown,Studio,1218,5,1,382700
Downtown,Studio,568,2,2,255200
Suburbs,Penthouse,3896,3,3,864400
Suburbs,Studio,2944,2,2,511600
Countryside,Penthouse,519,2,2,347850
Suburbs,Penthouse,3311,4,2,786650
Uptown,Villa,3251,5,3,887650
Countryside,Villa,2191,1,3,588650
Suburbs,Penthouse,2894,5,3,734100
Suburbs,Penthouse,671,3,1,380650
Downtown,Villa,2506,3,2,755900
Uptown,Studio,4492,3,3,853800
Downtown,Penthouse,3065,1,1,819750
Suburbs,Penthouse,4155,2,3,893250
Countryside,Villa,4500,2,1,945000
Suburbs,Villa,2218,1,3,592700
Downtown,Studio,1305,1,1,355750
Countryside,Studio,2319,1,3,407850
Downtown,Villa,1261,3,1,569150
Uptown,Apartment,2243,4,1,526450
Downtown,Apartment,4355,3,1,833250
Countryside,Apartment,2227,5,1,434050
Suburbs,Studio,2793,4,2,508950
Countryside,Penthouse,2525,2,1,648750
Downtown,Studio,1139,4,1,360850
Suburbs,Villa,821,1,3,383150
Downtown,Villa,1764,5,1,664600
Countryside,Penthouse,3234,1,3,745100
Uptown,Penthouse,846,5,3,526900
Uptown,Studio,3352,2,2,672800
Uptown,Studio,1010,1,1,311500
Countryside,Apartment,1291,1,1,253650
Countryside,Villa,882,3,1,412300
Countryside,Villa,1189,2,2,448350
Countryside,Penthouse,4761,1,1,974150
Downtown,Apartment,1104,4,2,355600
Uptown,Apartment,4995,2,3,919250
Countryside,Apartment,4027,1,2,664050
Uptown,Penthouse,1711,5,2,656650
Suburbs,Villa,1097,2,3,434550
Countryside,Villa,4116,4,3,907400
Downtown,Villa,4406,4,2,1050900
Uptown,Apartment,722,5,2,308300
Countryside,Studio,2859,2,2,498850
Uptown,Villa,1209,2,1,551350
Countryside,Villa,2853,2,2,697950
Suburbs,Studio,3529,3,2,609350
Countryside,Studio,2773,3,3,495950
Downtown,Apartment,2220,4,1,523000
Suburbs,Penthouse,3784,3,2,847600
Countryside,Apartment,859,3,2,208850
Downtown,Apartment,1413,5,2,411950
Suburbs,Apartment,3788,5,2,668200
Downtown,Apartment,3779,5,2,766850
Countryside,Penthouse,4133,1,1,879950
Countryside,Studio,1428,1,3,274200
Uptown,Apartment,3835,1,2,735250
Countryside,Penthouse,868,1,3,390200
Suburbs,Villa,4595,3,2,969250
Countryside,Apartment,2689,2,3,473350
Suburbs,Studio,3012,1,2,511800
Downtown,Studio,655,3,1,278250
Suburbs,Villa,686,5,2,402900
Uptown,Studio,2534,4,2,570100
Uptown,Apartment,3708,5,1,756200
Downtown,Apartment,1149,4,3,362350
Uptown,Studio,4887,2,2,903050
Uptown,Studio,4266,3,1,819900
Countryside,Apartment,1031,2,3,224650
Downtown,Apartment,1825,3,3,453750
Uptown,Villa,4908,3,3,1116200
Uptown,Studio,1571,5,1,435650
Countryside,Penthouse,3060,4,2,749000
Countryside,Studio,903,1,1,195450
Downtown,Studio,1755,3,2,443250
Suburbs,Penthouse,1505,1,1,485750
Downtown,Villa,4775,1,1,1076250
Suburbs,Apartment,4872,2,2,800800
Countryside,Villa,2539,3,3,660850
Countryside,Penthouse,3188,1,2,738200
Suburbs,Villa,1789,1,3,528350
Downtown,Penthouse,1431,3,3,594650
Countryside,Penthouse,1608,4,2,531200
Downtown,Villa,4952,4,2,1132800
Downtown,Apartment,2391,4,2,548650
Suburbs,Villa,758,4,2,403700
Suburbs,Villa,1805,1,3,530750
Uptown,Apartment,4331,5,1,849650
Uptown,Villa,3402,5,2,910300
Suburbs,Villa,1874,2,2,551100
Downtown,Studio,4343,2,2,821450
Uptown,Studio,1119,5,2,367850
Countryside,Villa,4460,2,2,939000
Uptown,Penthouse,1953,1,1,652950
Countryside,Penthouse,2335,1,3,610250
Suburbs,Penthouse,3134,4,3,760100
Uptown,Villa,4714,3,1,1087100
Downtown,Apartment,3323,5,1,698450
Suburbs,Studio,3177,2,3,546550
Suburbs,Apartment,4454,3,2,748100
Countryside,Studio,3078,3,1,541700
Uptown,Apartment,3618,1,1,702700
Downtown,Apartment,725,1,3,268750
Uptown,Penthouse,649,4,1,487350
Uptown,Studio,3101,5,2,665150
Countryside,Studio,530,3,2,159500
Downtown,Penthouse,2189,3,1,708350
Downtown,Studio,2000,1,1,460000
Uptown,Penthouse,564,5,2,484600
Uptown,Villa,1041,5,3,556150
Countryside,Apartment,4543,1,1,741450
Suburbs,Studio,677,5,1,201550
Uptown,Villa,2079,4,2,701850
Countryside,Villa,2437,5,2,665550
Suburbs,Penthouse,2313,4,3,636950
Downtown,Villa,3772,3,1,945800
Uptown,Villa,1921,4,3,678150
Downtown,Villa,1143,2,3,541450
Uptown,Studio,1125,5,1,368750
Downtown,Villa,4299,5,3,1044850
Suburbs,Villa,1662,3,3,529300
Downtown,Villa,1543,3,3,611450
Suburbs,Penthouse,1699,2,2,524850
Downtown,Penthouse,3056,2,1,828400
Suburbs,Apartment,611,5,3,191650
Uptown,Penthouse,1366,5,2,604900
Suburbs,Villa,4570,1,3,945500
Downtown,Studio,1548,3,1,412200
Downtown,Studio,4838,2,3,895700
Downtown,Villa,3650,1,3,907500
Downtown,Apartment,1530,3,3,409500
Suburbs,Apartment,4865,3,3,809750
Countryside,Apartment,1053,3,2,237950
Countryside,Apartment,1905,1,3,345750
Uptown,Studio,1172,4,1,365800
Countryside,Studio,510,1,1,136500
Suburbs,Apartment,2121,5,2,418150
Uptown,Villa,1958,4,2,683700
Downtown,Villa,3406,3,1,890900
Suburbs,Penthouse,1758,3,1,543700
Downtown,Studio,4453,1,3,827950
Suburbs,Apartment,2286,3,2,422900
Countryside,Villa,2194,1,3,589100
Suburbs,Studio,4344,2,2,721600
Countryside,Studio,1465,3,2,299750
Countryside,Studio,4982,2,3,817300
Downtown,Studio,4492,3,2,853800
Uptown,Studio,4975,1,2,906250
Suburbs,Penthouse,3690,4,2,843500
Uptown,Villa,1435,1,2,575250
Uptown,Villa,3823,5,3,973450
Downtown,Penthouse,3957,3,1,973550
Uptown,Villa,2229,5,2,734350
Downtown,Villa,1488,3,1,603200
Suburbs,Studio,3798,1,1,629700
Suburbs,Studio,2958,5,2,543700
Uptown,Villa,726,3,2,488900
Suburbs,Studio,2151,1,3,382650
Uptown,Studio,948,5,1,342200
Uptown,Studio,3197,3,3,659550
Countryside,Apartment,811,2,2,191650
Suburbs,Villa,3312,1,2,756800
Suburbs,Villa,2613,5,3,691950
Suburbs,Apartment,3667,4,2,640050
Countryside,Villa,2447,2,1,637050
Downtown,Villa,2305,4,2,735750
Uptown,Penthouse,4161,4,3,1014150
Countryside,Penthouse,4527,5,2,979050
Downtown,Apartment,2078,3,2,491700
Countryside,Villa,3259,2,2,758850
Countryside,Apartment,1029,2,3,224350
Countryside,Villa,2396,3,3,639400
Countryside,Penthouse,2787,5,3,718050
Downtown,Studio,3919,1,1,747850
Downtown,Apartment,3490,1,3,683500
Suburbs,Villa,3925,3,3,868750
Countryside,Penthouse,541,1,3,341150
Uptown,Penthouse,4112,4,1,1006800
Uptown,Villa,1330,2,2,569500
Downtown,Penthouse,1657,5,1,648550
Suburbs,Apartment,989,5,1,248350
Uptown,Studio,3496,3,2,704400
Suburbs,Apartment,2936,2,2,510400
Suburbs,Villa,589,4,1,378350
Downtown,Studio,1581,2,1,407150
Countryside,Apartment,3524,2,3,598600
Countryside,Villa,1055,2,3,428250
Downtown,Villa,4157,1,1,983550
Uptown,Penthouse,3020,5,3,853000
Countryside,Villa,746,4,1,401900
Countryside,Apartment,1027,1,1,214050
Uptown,Studio,4213,1,3,791950
Uptown,Apartment,3904,3,2,765600
Suburbs,Studio,2204,2,3,400600
Suburbs,Villa,4581,5,3,987150
Suburbs,Studio,1152,4,1,262800
Uptown,Villa,942,1,3,501300
Uptown,Penthouse,1972,3,3,675800
Countryside,Studio,3356,5,3,603400
Countryside,Penthouse,2687,4,3,693050
Downtown,Villa,600,5,3,490000
Uptown,Apartment,3911,1,2,746650
Countryside,Studio,2012,3,1,381800
Uptown,Studio,4703,1,2,865450
Countryside,Studio,1549,1,1,292350
Downtown,Penthouse,4298,4,2,1034700
Countryside,Villa,3423,2,3,783450
Suburbs,Apartment,2944,2,3,511600
Uptown,Studio,1079,3,3,341850
Suburbs,Penthouse,3746,1,1,821900
Suburbs,Apartment,3042,3,1,536300
Countryside,Studio,2622,3,3,473300
Countryside,Studio,4966,3,3,824900
Uptown,Penthouse,1277,2,3,561550
Suburbs,Penthouse,827,3,2,404050
Suburbs,Villa,878,3,2,411700
Suburbs,Studio,732,5,2,209800
Suburbs,Villa,1664,1,3,509600
Countryside,Penthouse,4504,5,2,975600
Suburbs,Villa,2003,1,2,560450
Uptown,Apartment,2800,1,1,580000
Downtown,Studio,3832,2,2,744800
Suburbs,Studio,2858,3,1,508700
Suburbs,Villa,1754,5,2,563100
Countryside,Villa,3271,4,2,780650
Downtown,Apartment,2950,2,2,612500
Suburbs,Studio,1085,1,2,222750
Uptown,Apartment,3488,5,2,723200
Uptown,Studio,1337,2,3,370550
Downtown,Penthouse,1456,3,3,598400
Downtown,Penthouse,4904,1,1,1095600
Uptown,Apartment,515,2,3,247250
Downtown,Studio,1005,5,3,350750
Downtown,Studio,3651,1,1,707650
Uptown,Studio,4586,1,2,847900
Countryside,Villa,2718,3,2,687700
Countryside,Studio,2062,1,1,369300
Suburbs,Studio,1218,5,3,282700
Uptown,Villa,3636,1,2,905400
Countryside,Studio,4094,1,1,674100
Downtown,Studio,3240,1,3,646000
Uptown,Villa,4790,1,2,1078500
Uptown,Villa,3486,1,2,882900
Uptown,Villa,3858,3,3,958700
Downtown,Penthouse,4072,1,1,970800
Suburbs,Penthouse,2881,2,1,702150
Downtown,Villa,4682,4,2,1092300
Downtown,Villa,846,3,1,506900
Uptown,Studio,4357,4,2,843550
Downtown,Apartment,2295,3,2,524250
Suburbs,Studio,3375,1,1,566250
Downtown,Studio,3977,2,2,766550
Suburbs,Villa,3079,5,3,761850
Suburbs,Apartment,2564,3,1,464600
